id,IATA,en-GB,latitude,longitude,vibes
1,TRN,Turin,45.0703,7.6869,"historic industrial elegant"
2,BCN,Barcelona,41.3851,2.1734,"vibrant artistic beach nightlife"
3,LIS,Lisbon,38.7223,-9.1393,"historic charming hilly scenic"
4,DBV,Dubrovnik,42.6507,18.0944,"historic coastal scenic walled-city"
5,RAK,Marrakech,31.6295,-7.9811,"exotic vibrant souk historic"
6,VLC,Valencia,39.4699,-0.3763,"modern historic beach paella"
7,ATH,Athens,37.9838,23.7275,"ancient historic mythology vibrant"
8,NAP,Naples,40.8518,14.2681,"historic pizza vibrant chaotic coastal"
9,LON,London,51.5074,-0.1278,"historic diverse cosmopolitan iconic"
10,PAR,Paris,48.8566,2.3522,"romantic artistic iconic fashion"
11,ROM,Rome,41.9028,12.4964,"ancient historic iconic religious"
12,NYC,New York City,40.7128,-74.0060,"vibrant diverse iconic bustling"
13,BER,Berlin,52.5200,13.4050,"historic artistic alternative vibrant"
14,AMS,Amsterdam,52.3676,4.9041,"charming canals liberal historic"
15,MAD,Madrid,40.4168,-3.7038,"vibrant cultural nightlife historic"
